order_id,depot_id,type,parcel_size,dest_zone_alpha,scanned_at,dest_zone
167006051,103410,warehouse_sweep,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,global_inbound,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,A,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,B,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,B,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,B,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,global_inbound,xl,B,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,B,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,B,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,B,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167006051,103410,warehouse_sweep,xl,B,2/1/23 18:24,B04-E (TOH TUCK ROAD)
167008851,103410,global_inbound,s,C,2/1/23 18:26,H13-F (ST XAVIER'S LANE)
167008851,103410,warehouse_sweep,s,C,2/1/23 18:27,H13-F (ST XAVIER'S LANE)
167008851,103410,warehouse_sweep,s,C,2/1/23 18:27,H13-F (ST XAVIER'S LANE)
167005001,103410,global_inbound,xs,C,2/1/23 18:28,H07-K (BUANGKOK CRESCENT)
166985311,103410,global_inbound,xs,C,2/1/23 18:30,B09-J (CHOA CHU KANG LOOP)
